filename,width,height,class,xmin,ymin,xmax,ymax
received_274557430240638.jpeg,3088,2320,looking down,559,131,2609,1976
11797642-a-man-looking-at-his-hand-palm-.jpg,1300,866,hand,198,56,1266,866
IMG_2824.jpg,792,1056,hand,40,132,677,832
IMG_2830.jpg,792,1056,hand,129,209,772,823
IMG_2818.jpg,792,1056,hand,111,9,640,734
received_253434029364388.jpeg,2316,3088,looking down,208,379,2172,2824
20200430_193533.jpg,2560,1440,looking down,1,81,1917,1430
94880102_236745327639297_3212014042755366912_n.jpg,1125,1500,calculator,413,399,689,1110
download-27.jpg,275,183,book,130,32,249,118
download-27.jpg,275,183,book,14,28,61,96
download-27.jpg,275,183,book,60,97,111,182
20200429_083446.jpg,4160,2340,calculator,1814,122,3184,1733
5_android_Phone_on_wooden_table_with_headphones_and_guitar.jpg,590,332,phone,179,112,408,305
20200429_193443.jpg,4160,2340,calculator,2328,1269,3720,1989
20200429_191526.jpg,4160,2340,calculator,317,100,1206,2133
images-51.jpg,271,186,book,1,1,264,139
IMG_2788.jpg,792,1056,hand,106,96,679,782
images-45.jpg,285,177,book,20,12,273,159
images-79.jpg,300,168,book,106,36,300,144
images-78.jpg,318,159,book,30,84,231,128
images-78.jpg,318,159,book,68,62,247,102
PhoneTableTOP.jpg,940,530,phone,426,299,872,506
images-44.jpg,275,183,book,17,49,275,122
images-44.jpg,275,183,book,1,118,192,154
images-44.jpg,275,183,book,2,152,134,183
images-44.jpg,275,183,book,139,159,275,180
IMG_2789.jpg,792,1056,hand,136,62,618,937
images-50.jpg,318,159,book,95,46,306,142
20200429_235201.jpg,4160,2340,calculator,2217,1536,3734,2133
1556344367989-white-samsung-android-phone-on-desk-mockup-generator-psd-template.jpg,650,433,phone,206,32,547,410
115753627-workplace-with-modern-mobile-phone-on-table-close-up.jpg,1300,750,phone,284,113,931,676
20200427_022643.jpg,4160,2340,calculator,1106,264,3201,1602
download-26.jpg,275,183,book,16,19,191,150
20200430_020908.jpg,4160,2340,calculator,2659,1855,3562,2233
20200430_020908.jpg,4160,2340,calculator,2412,177,3014,494
IMG_2819.jpg,792,1056,hand,106,21,622,771
IMG_2831.jpg,792,1056,hand,279,221,711,837
IMG_2825.jpg,792,1056,hand,99,105,636,837
Samsung-Galaxy-S10e-back-on-table-right-920x613.jpg,920,613,phone,75,120,838,514
95219351_220946339192822_6901658419107725312_n.jpg,2048,1024,calculator,1137,138,1384,1006
95219351_220946339192822_6901658419107725312_n.jpg,2048,1024,calculator,359,195,917,938
20200429_191451.jpg,4160,2340,calculator,2881,405,3839,2225
20200430_021157.jpg,4160,2340,calculator,773,1258,2887,2050
06_mobile-app-android-mockup.jpg,884,589,phone,257,64,633,493
IMG_2833.jpg,792,1056,hand,111,191,736,862
IMG_2827.jpg,792,1056,hand,6,166,704,855
20200430_021816.jpg,4160,2340,calculator,2028,583,3531,1036
95146561_533027174034215_1188075850579312640_n.jpg,1103,2048,calculator,14,390,500,1599
depositphotos_202869262-stock-video-close-shot-of-womans-hand.jpg,608,342,phone,182,180,527,261
download-30.jpg,287,176,book,26,36,269,96
download-30.jpg,287,176,book,17,96,258,125
download-24.jpg,275,183,book,59,35,187,116
download-18.jpg,287,176,book,76,21,222,39
download-18.jpg,287,176,book,83,41,215,51
download-18.jpg,287,176,book,75,50,226,63
download-18.jpg,287,176,book,71,65,223,80
download-18.jpg,287,176,book,46,80,233,96
download-18.jpg,287,176,book,38,98,246,115
download-18.jpg,287,176,book,64,118,253,136
download-18.jpg,287,176,book,52,137,246,171
94977061_283204436013750_7307498949877694464_n.jpg,2048,1024,calculator,713,7,1774,938
received_258131978706010.jpeg,1280,2560,looking down,52,816,1268,2380
google-pixel-2-xl-black-on-table.jpg,600,450,phone,109,63,425,431
download-9.jpg,239,211,book,58,4,230,171
images-46.jpg,268,188,book,59,80,225,158
images-52.jpg,260,194,book,74,12,181,152
94973684_159499845488183_2938651735280844800_n.jpg,1017,2048,calculator,390,830,784,1599
images-53.jpg,268,188,book,108,44,178,110
download-8.jpg,254,198,book,7,10,245,161
images-47.jpg,302,167,book,11,8,302,159
95306848_232627104729742_697382356771667968_n.jpg,1125,1500,calculator,298,899,681,1422
20200429_084101.jpg,4160,2340,calculator,1495,1455,2981,2177
20200429_084101.jpg,4160,2340,calculator,1103,102,2081,972
20200429_191256.jpg,4160,2340,calculator,731,702,2106,1411
phone-on-the-table-2.jpg,4431,3323,phone,815,433,4149,2422
download-19.jpg,265,190,book,19,65,248,142
images121.jpg,259,194,phone,13,40,235,170
download-25.jpg,275,183,book,35,44,187,123
download-31.jpg,275,183,book,170,1,275,181
20200430_193531.jpg,2560,1440,looking down,1,22,1852,1432
IMG_2826.jpg,792,1056,hand,145,109,670,880
IMG_2832.jpg,792,1056,hand,281,212,695,832
istockphoto-636413254-1024x1024.jpg,1024,682,hand,198,121,805,676
20200429_084049.jpg,4160,2340,calculator,1259,1019,2370,1955
20200429_084049.jpg,4160,2340,calculator,1131,16,2976,1052
IMG_2836.jpg,792,1056,hand,83,53,715,896
20200429_083939.jpg,4160,2340,calculator,1690,1,2795,1919
IMG_2822.jpg,792,1056,hand,136,269,711,884
20200429_192834.jpg,4160,2340,calculator,2148,58,3903,791
20200429_192834.jpg,4160,2340,calculator,2092,1505,3953,2227
5s-gold-back2.jpg,600,471,phone,79,31,518,457
20200427_022903.jpg,4160,2340,calculator,1667,522,2837,1616
download-21.jpg,260,194,book,4,25,161,131
received_355097395446448.jpeg,540,725,looking down,54,156,497,687
20200429_193451.jpg,4160,2340,calculator,2459,1452,3909,2052
images-80.jpg,300,168,book,13,41,41,168
images-80.jpg,300,168,book,54,48,85,165
images-80.jpg,300,168,book,87,47,101,168
download.jpg,199,254,book,27,22,174,225
images-57.jpg,279,181,book,11,8,74,92
images-57.jpg,279,181,book,115,62,244,156
images-56.jpg,357,141,book,149,16,332,38
images-56.jpg,357,141,book,140,36,324,59
images-56.jpg,357,141,book,132,74,352,107
received_2682066308589453.jpeg,1379,2560,looking down,48,445,1277,2325
received_241196916997158.jpeg,1080,1920,looking down,62,164,911,1583
received_252613172556840.jpeg,1080,1920,looking down,117,71,1043,1336
imageshjh.jpg,275,183,phone,45,65,134,139
download-20.jpg,265,190,book,24,21,240,61
download-20.jpg,265,190,book,25,59,244,88
download-20.jpg,265,190,book,21,90,242,137
